08OCTAVA,20140616,0.77,0.79,0.76,0.79,2073
4FUNMEDIA,20140616,10.90,11.00,10.90,11.00,2172
ABCDATA,20140616,3.93,4.01,3.89,4.00,136020
ABPL,20140616,28.10,28.10,27.50,27.90,2417
ACAUTOGAZ,20140616,36.50,37.95,36.50,37.89,250
ACE,20140616,12.03,12.60,11.95,11.95,6241
ACTION,20140616,44.70,44.70,44.50,44.70,551
AGORA,20140616,9.50,9.55,9.35,9.36,14860
AGROTON,20140616,2.81,2.81,2.72,2.73,169508
ALCHEMIA,20140616,4.98,5.02,4.90,4.95,726493
ALIOR,20140616,82.49,83.04,81.80,83.00,28193
ALMA,20140616,24.25,24.25,24.24,24.24,138
ALTA,20140616,3.41,3.47,3.40,3.47,2110
AMBRA,20140616,8.50,8.51,8.21,8.22,16273
AMICA,20140616,106.50,107.00,103.80,105.60,1308
AMREST,20140616,86.46,87.98,85.07,87.98,402
APATOR,20140616,35.48,36.20,35.42,36.20,1118
APLISENS,20140616,13.20,13.45,12.87,12.87,1732
ARCTIC,20140616,2.69,2.71,2.51,2.60,153579
ARCUS,20140616,2.38,2.38,2.29,2.34,3362
ARKAFRN12,20140616,51.35,51.44,51.00,51.00,1840
ARKASWE17,20140616,87.50,87.50,87.50,87.50,288
ARTERIA,20140616,18.50,18.51,18.00,18.22,474
ASBIS,20140616,3.93,3.93,3.73,3.77,24921
ASSECOBS,20140616,11.59,11.59,11.59,11.59,1
ASSECOPOL,20140616,41.68,41.87,41.11,41.87,54197
ASSECOSEE,20140616,7.80,7.80,7.80,7.80,1
ASSECOSLO,20140616,15.60,15.60,15.60,15.60,140
ASTARTA,20140616,45.41,45.41,43.80,44.10,11650
ATENDE,20140616,3.74,3.74,3.56,3.71,3540
ATLANTAPL,20140616,6.96,7.13,6.95,7.13,732
ATLANTIS,20140616,1.15,1.15,1.11,1.12,19683
ATLASEST,20140616,1.27,1.27,1.26,1.26,7100
ATM,20140616,12.54,12.67,12.54,12.67,1379
ATMGRUPA,20140616,3.33,3.42,3.30,3.32,101656
ATREM,20140616,5.77,5.77,5.77,5.77,100
AVIAAML,20140616,7.00,7.00,7.00,7.00,334
AVIASG,20140616,36.60,36.60,35.92,35.92,283
AWBUD,20140616,0.44,0.45,0.43,0.43,94850
BAKALLAND,20140616,2.34,2.35,2.30,2.30,13268
BALTONA,20140616,4.78,4.78,4.78,4.78,555
BANKBPH,20140616,48.24,48.24,48.24,48.24,10
BBIDEV,20140616,1.51,1.51,1.50,1.50,10989
BENEFIT,20140616,280.00,281.50,276.00,281.50,435
BETACOM,20140616,13.47,13.47,13.25,13.40,588
BGZ,20140616,70.01,70.45,70.01,70.03,434
BIOTON,20140616,5.23,5.40,5.23,5.39,160940
BIPROMET,20140616,4.32,4.42,4.32,4.41,2796
BLACKLION,20140616,1.18,1.21,1.18,1.21,1466
BMPAG,20140616,3.29,3.34,3.26,3.34,4885
BNPPL,20140616,58.90,59.00,56.60,59.00,2023
BOGDANKA,20140616,120.00,122.00,120.00,122.00,13922
BORYSZEW,20140616,5.26,5.37,5.25,5.35,259266
BOS,20140616,46.90,46.90,46.05,46.80,354
BOWIM,20140616,2.40,2.40,2.40,2.40,50
BPHFIZBI4,20140616,118.10,118.10,118.10,118.10,200
BRIJU,20140616,12.50,13.00,12.50,13.00,365
BSCDRUK,20140616,26.27,26.27,26.24,26.24,168
BUDIMEX,20140616,127.85,127.85,124.15,125.90,6816
BUMECH,20140616,2.58,2.58,2.50,2.54,3008
BUWOG,20140616,58.09,59.00,58.09,58.94,8686
BYTOM,20140616,1.20,1.27,1.18,1.21,1815274
BZWBK,20140616,371.40,373.50,362.85,370.00,95020
CALATRAVA,20140616,2.15,2.36,2.12,2.30,615863
CAPITAL,20140616,1.93,1.96,1.88,1.88,3719
CCC,20140616,111.80,114.40,110.45,113.55,7231
CDPROJEKT,20140616,16.02,16.25,15.51,16.25,95145
CELTIC,20140616,3.96,3.96,3.96,3.96,1500
CEZ,20140616,90.55,91.43,90.55,91.30,2607
CIECH,20140616,32.81,33.39,32.71,33.30,28356
CIGAMES,20140616,10.00,10.05,9.75,10.04,18243
CNT,20140616,5.64,5.72,5.50,5.69,1405
COALENERG,20140616,1.30,1.34,1.30,1.31,45736
COGNOR,20140616,1.84,1.88,1.82,1.88,7869
COLIAN,20140616,3.11,3.25,2.90,3.25,197236
COMARCH,20140616,86.00,86.00,85.15,85.15,175
COMP,20140616,55.80,57.99,55.80,57.99,1430
COMPERIA,20140616,18.84,19.25,18.84,19.25,215
CORMAY,20140616,7.19,7.24,7.02,7.09,21579
CPGROUP,20140616,4.85,4.94,4.85,4.94,2410
CUBEITG,20140616,0.48,0.50,0.45,0.50,11223
CYFRPLSAT,20140616,22.36,22.36,21.92,22.05,296828
CZTOREBKA,20140616,9.60,9.68,9.60,9.68,375
DEBICA,20140616,90.95,90.95,88.10,88.20,152
DECORA,20140616,7.55,7.65,7.49,7.65,4799
DELKO,20140616,6.00,6.29,6.00,6.29,1011
DGA,20140616,0.85,0.87,0.84,0.85,7227
DMWDM,20140616,1.51,1.51,1.48,1.51,54436
DOMDEV,20140616,48.78,48.78,45.92,47.72,244
DRAGOWSKI,20140616,0.50,0.51,0.47,0.51,106479
DREWEX,20140616,0.44,0.46,0.44,0.46,50445
DROP,20140616,3.10,3.10,3.05,3.06,3615
DROZAPOL,20140616,0.75,0.75,0.73,0.75,1776
DSS,20140616,1.05,1.05,1.05,1.05,237
DTP,20140616,6.00,6.00,5.94,6.00,316
DUDA,20140616,0.78,0.78,0.76,0.77,289060
DUON,20140616,1.47,1.49,1.46,1.48,20448
ECHO,20140616,6.47,6.64,6.44,6.60,337540
EDINVEST,20140616,3.48,3.48,3.48,3.48,1
EFEKT,20140616,11.00,11.52,10.80,11.52,184
EFH,20140616,0.44,0.44,0.40,0.43,347286
EKANCELAR,20140616,0.87,0.95,0.84,0.95,6889
EKOEXPORT,20140616,36.10,36.10,34.80,34.85,18955
ELBUDOWA,20140616,85.50,85.60,84.50,84.89,17463
ELEKTROTI,20140616,9.54,9.54,9.30,9.40,1770
ELEMENTAL,20140616,2.46,2.46,2.41,2.44,21604
ELKOP,20140616,1.23,1.24,1.18,1.24,4068
ELZAB,20140616,12.20,12.20,12.00,12.20,359
EMCINSMED,20140616,16.42,16.42,16.42,16.42,39
EMPERIA,20140616,60.20,60.50,59.08,60.40,3846
ENAP,20140616,1.03,1.03,0.99,1.00,5503
ENEA,20140616,16.00,16.18,15.95,16.14,152822
ENELMED,20140616,10.22,10.30,10.22,10.30,954
ENERGA,20140616,20.15,20.44,19.50,20.40,1033010
ENERGOINS,20140616,15.00,15.00,14.52,14.52,103325
ERBUD,20140616,25.22,25.60,25.22,25.25,245
ERGIS,20140616,4.17,4.24,4.17,4.17,687
