08OCTAVA,20140618,0.76,0.79,0.76,0.76,102
4FUNMEDIA,20140618,11.38,11.38,10.75,10.85,5078
ABCDATA,20140618,4.05,4.09,4.02,4.06,114523
ABPL,20140618,27.60,28.39,27.60,28.39,12798
ACAUTOGAZ,20140618,37.60,37.70,37.60,37.60,128
ACE,20140618,11.60,11.60,11.22,11.50,7805
ACTION,20140618,45.96,45.96,44.90,45.20,23944
AGORA,20140618,9.49,9.49,9.30,9.49,16034
AGROTON,20140618,2.70,2.79,2.70,2.76,28240
ALCHEMIA,20140618,5.08,5.10,4.95,4.99,52289
ALIOR,20140618,82.47,83.09,82.25,82.70,138933
ALMA,20140618,24.24,24.24,23.55,23.81,277
ALTA,20140618,3.50,3.50,3.50,3.50,24
AMBRA,20140618,8.26,8.32,8.26,8.30,327
AMICA,20140618,104.50,105.00,104.20,105.00,1402
AMREST,20140618,87.74,87.75,86.02,87.69,2187
APATOR,20140618,36.00,36.51,35.99,36.50,3383
APLISENS,20140618,13.28,13.28,13.24,13.24,29
ARCTIC,20140618,2.56,2.60,2.52,2.60,77126
ARCUS,20140618,2.45,2.45,2.37,2.37,809
ARK2FRN15,20140618,60.00,60.33,60.00,60.33,1016
ARKAFRN12,20140618,51.39,54.49,51.39,54.49,2936
ARKASWE17,20140618,87.99,87.99,87.99,87.99,2
ARTERIA,20140618,18.50,18.50,18.50,18.50,5
ASBIS,20140618,3.79,3.87,3.79,3.83,14668
ASSECOBS,20140618,11.45,11.45,11.10,11.10,261
ASSECOPOL,20140618,42.27,42.40,41.95,42.10,83956
ASSECOSEE,20140618,7.84,7.84,7.84,7.84,65
ASSECOSLO,20140618,16.00,16.00,15.95,15.95,310
ASTARTA,20140618,45.50,45.99,43.53,45.99,653
ATENDE,20140618,3.66,3.69,3.63,3.63,19356
ATLANTAPL,20140618,7.10,7.10,7.10,7.10,200
ATLANTIS,20140618,1.15,1.15,1.11,1.14,10411
ATM,20140618,12.00,12.40,11.82,12.40,950
ATMGRUPA,20140618,3.35,3.39,3.31,3.33,50329
ATREM,20140618,5.77,5.80,5.77,5.80,945
AVIAAML,20140618,6.99,6.99,6.99,6.99,56
AVIASG,20140618,34.73,34.73,33.60,34.00,225
AWBUD,20140618,0.43,0.43,0.43,0.43,44338
BAKALLAND,20140618,2.24,2.34,2.24,2.34,17700
BALTONA,20140618,4.79,4.79,4.79,4.79,712
BANKBPH,20140618,48.12,48.12,47.30,47.89,186
BBIDEV,20140618,1.49,1.50,1.49,1.50,2499
BENEFIT,20140618,283.85,283.85,267.25,280.00,775
